注册,登録
登录,登録
首页,トップページ
热门推荐,人気推薦
商品评论,商品の特長
联系我们,連絡
未登录,未登録
有缘婚姻,縁があって結婚
大连甘井子区 xxx 路 xxx 号 xxx 婚恋有限公司,大連甘井子区xxx路xxx有限会社xxx号と結婚
导航,ナビゲーション
婚纱,ウエディングドレス
摄影,撮影
美妆,美粧
策划,企画
投诉,苦情
建议,提案
质量监督,品質監督
合作,協力
关于,について
公司简介,会社概要
公司发展,会社の発展
公司公告,会社の公告
联系我们,連絡
大连甘井子区 xxx 路 xxx 号,大連甘井子区xxx路xxx号
咨询邮箱,メール相談
婚恋商城,婚姻のショッピングセンター
帮助,助ける
礼服,ドレス
,
欢迎注册,歓迎の登録
用户名,ユーザー名
邮箱地址,メールアドレス
密码,パスワード
重复密码,繰り返しパスワード
真实姓名,本当の名前
年龄,年齢
xx 婚恋网用户注册协议,xx結婚恋愛網ユーザー登録協議
快捷登录,ショートカットの登録
欢迎登录,歓迎の登録
账户密码,アカウントのパスワード
忘记密码?,パスワードを忘れますか？
确认,確認
,
价格筛选,価格のスクリーニング
价格区间,価格帯
品牌分类,ブランド分類
推荐商品,推薦商品
标签分类,ラベルの分類
商品详情,商品の詳細
市场价,市場価格
优惠价,優待価格
VIP价,VIP価
添加到购物车,足を付けるからショッピングカート
品牌,ブランド
关键字,キーワード
相关推荐,相関推薦
商品描述,商品の説明
商品参数,商品のパラメーター
评论列表,評論リスト
添加评论,足を付ける評論
商品积分,商品積分
上架时间,売り出し時間
销售量,販売量
商品剩余,商品剰余
会员价,会员価格
暂无评论,暫時評論
未登录、登录后才能进行相关操作,未登録、ログイン後才能を関連操作
提交评论,提出評論
图片展示,写真
无符合条件的数据,無条件に該当するデータ
分类共,分類計
条数据,条のデータ
本页显示,このページを表示
条数据,条のデータ
默认排序,デフォルトのソート
价格从高到低,値段が高い
销量从高到低,売上高から低
评论从高到低,評論が高いから
上架时间从高到低,棚から時間が高い
销量从高到低,売上高から低
新品,新品
热门,人気がある
当前页数,現在のページ
清空当前筛选条件,現在の条件をクリアする
价格,価格
标签,ラベル
账户激活失败,口座をアクティブに失敗
账户激活成功,口座をアクティブに成功
账户已经激活了,口座が活性化した
邮箱不能不为空,電子メールは空にないわけにはいかない
密码不能为空,パスワードは空にできません
未进行人机验证,未検証を行うマン
第三方快捷登录,第三者のショートカット登録
请绑定邮箱帐号,メールアカウントに縫い付けてください
请输入邮箱中的验证码,メールでの確認コードを入力してください
绑定成功！您以后可以直接使用第三方帐号登录,成功する！あなたから直接使用することができ第三者アカウント登録
绑定失败,失敗する
第三方登录故障，可联系管理员,第三者登録の故障、管理者に連絡し
人机验证失败,マン失敗を検証する
用户名不能为空,ユーザー名は空にできません
邮箱帐号不能为空,メールアカウントは空にできません
密码不能为空,パスワードは空にできません
密码不一致,パスワードが一緻しない
未进行人机验证,未検証を行うマン
注册成功、请前往注册邮箱进行账户激活,登録することに成功し、登録メールアドレスをアクティブにしてください口座へ
注册失败,登録失敗
订单,注文
订单列表,注文リスト
订单ID,注文のID
订单总价,受注総額
支付状态,支払い状態
支付方式,支払い方式
订单商品,ご注文商品
交易号,取引日
完成,完成
未完成,未完成
支付宝,宝を支払う
微信,マイクロ手紙
其他,他
商品列表,商品リスト
添加收货地址,足を付けるの住所
我喜欢的商品,私の好きな商品
添加收货地址,足を付けるの住所
省份,州
城市,都市
邮编,郵便番号
电话,電話
固定电话,固定電話
联系人,コンタクト
详细地址,詳しい住所
添加购物车成功,足を付けるショッピングカートに成功
添加购物车失败,足を付けるショッピングカート失敗
商品,商品
商品名称,商品名称
价格,価格
剩余库存,在庫殘り
加入购物车,加入ショッピングカート
添加到购物车,足を付けるからショッピングカート
点击可修改信息,をクリックして改修可能情報
性别格式不正确,性別の形式が正しくありません
男,男
女,女
邮箱格式不正确,アドレス形式が正しくありません
个人中心,自己中心
已购买的商品,購入の商品は
我的购物车,私のショッピングカート
我喜欢的商品,私の好きな商品
我的收货地址,私の住所の
用户ID,ユーザーID
用户名称,ユーザー名
真实姓名,本当の名前
用户性别,ユーザーの性別
用户年龄,ユーザーの年齢
用户邮箱,ユーザーのメール
用户VIP等级,ユーザーのVIPレベル
用户积分,ユーザー積分
用户创建时间,ユーザーセットアップ時間
用户最后登录时间,ユーザー登録時間最後
用户最后登录IP,ユーザー登録IP最後
购物车,ショッピングカート
您确认要删除该商品吗？,あなたを削除することを確認する同商品か？
取消,キャンセル
删除失败,失败を削除
啥也没选，咋买,何もない选を買って、どのように
购物车,ショッピングカート
数量,数
总价,総額
删除,削除
选择,選択
商品数量,商品の数
结算,決済
支付方式,支払い方式
配送地址,配送先住所の
确认订单,注文請書
公司地址,会社の住所
退出,名目
语言,言語
语言切换,言語の切り替え
简体中文,中国語
英语,英語
日语,日本語
